Job Title,Company Name,Location,Salary Estimate,Rating,Job Description,size,founded,type,industry,sector,revenue
DATA SCIENTIST,University of Washington,"Seattle, WA","$110,107 /yr (est.)",4.2,"Notes:
As a UW employee, you will enjoy generous benefits and work/life programs. For detailed information on Benefits for this position, click here.


As a UW employee, you have a unique opportunity to change lives on our campuses, in our state and around the world. UW employees offer their boundless energy, creative problem solving skills and dedication to build stronger minds and a healthier world.

The University of Washington is located in the greater Seattle metropolitan area, with a dynamic, multicultural community of 3.7 million people and a range of ecosystems from mountains to ocean. The UW acknowledges the Coast Salish peoples of this land, the land which touches the shared waters of all tribes and bands within the Suquamish, Tulalip and Muckleshoot nations. The UW serves a diverse population of 80,000 students, faculty and staff, including 25% first-generation college students, over 25% Pell Grant students, and faculty from more than 70 countries.

EarthLab. iis seeking a for research on outdoor recreation and nature-based tourism. The employee will join a team of researchers and practitioners who develop novel methods and information to inform public land management and improve opportunities for outdoor recreation. The successful candidate will advance methods that mix traditional survey methods with data from citizen science, social media, and mobile applications to more effectively measure visitation to public lands and generate fine-scale maps of where and how people recreate outdoors. The Data Scientist will be responsible for developing, improving, and maintaining existing analysis workflows. They will also be involved in many aspects of data management, analysis, and visualization to support projects with academic, governmental, and NGO partners. The successful candidate will be an organized, friendly, self-directed individual who is passionate about working on collaborative projects for social good.

EarthLab is a visionary institute that pushes boundaries to address our most pressing environmental challenges, with a current focus on climate and its intersection with social justice. EarthLab does this by connecting the University of Washington (UW) to communities, businesses, non-profits, public agencies, Tribal nations and others to co-produce actionable research that generates solutions and strategies for local and global impact. EarthLab’s vision, an equitable, just and sustainable world where people and planet thrive, supports one of the University’s biggest goals. As a Carnegie-classified Community Engagement University, the UW aspires to be the #1 university in the world as measured by impact. EarthLab is inspired by and committed to this challenge.



































EarthLab and the University of Washington (UW) are committed to developing a diverse and culturally aware workplace, and the promotion of diversity and inclusivity among our students, faculty, staff, and public. EarthLab acknowledges the systemic racism that exists in the environmental sector and within environmentalism. We believe every member on our team enriches our diversity by exposing us to a broad range of ways to understand and engage with the world, identify challenges, and to discover, design and deliver solutions. We are seeking candidates who are committed to creating an equitable, diverse and inclusive work environment where all voices are considered and valued.

Application Process:




The application process for UW positions may include completion of a variety of online assessments to obtain additional information that will be used in the evaluation process. These assessments may include Work Authorization, Cover Letter and/or others. Any assessments that you need to complete will appear on your screen as soon as you select “Apply to this position”. Once you begin an assessment, it must be completed at that time; if you do not complete the assessment you will be prompted to do so the next time you access your “My Jobs” page. If you select to take it later, it will appear on your ""My Jobs"" page to take when you are ready.",10000+ Employees,1861,College / University,Colleges & Universities,Education,$2 to $5 billion (USD)
Data Science and Signal Engineer II,Medtronic,"Northridge, CA","$110,107 /yr (est.)",4.1,"Careers that Change Lives

Engineers create our market-leading portfolio of innovations. Combine the best of your experience with training and mentorship to move forward. If you want a challenging, energizing, rewarding career that changes lives, join us. Help us bring the next generation of life-changing medical technology to patients worldwide.

We are looking for an enthusiastic individual with strong analytical skills to join our algorithm development and data analytics team at Medtronic Diabetes (Northridge, CA). The position involves the support of research and development of medical devices related to continuous glucose monitors. The individual will work with members of research staff to improve the performance of continuous glucose sensors through the application of machine learning, analytics, signal processing and mathematical modeling and experimentation. The role will involve all aspects of the research process, including data processing, analysis, theory development and validation.",10000+ Employees,1949,Company - Public,Health Care Products Manufacturing,Manufacturing,$10+ billion (USD)
Data Science Leader,The EZ Street Company,Remote,"$150,000 /yr (est.)",,"Full Job Description:
Data Science Leader, The EZ STREET Company
(Miami, FL)
The EV revolution is underway, but what about the roads they drive on? Paris to Perpigan ring a bell? It’s the first recorded paved road. Less than two hundred years later, while the world has been leveraging your skills to optimize ads, we’ve been preparing the way for your next journey with a divergent type of infrastructure. Yes, we have a very difficult problem to solve. One that may hold you in the 70% accuracy range for a while – at least until you figure things out.
Predicting complex 3D shapes of proteins is a noble cause – fixing the world’s roads, pretty darn important too. If you’re good at your craft, and you want to build something cool and grow and lead a crack crew of data science specialists, let’s get acquainted.",,,,,,
Data Scientist - Football,PFF,"Cincinnati, OH","$65,620 /yr (est.)",4.1,"PFF is a world leader in the collection, analysis, and application of sports data. With clients spanning the majority of the professional and college football landscapes, as well as many media entities and other football-data-related organizations, our employees have the opportunity to drive changes in the way sports are played and consumed.
Toward these aims, our team is looking for data scientists who excel at solving a variety of problems and getting those solutions into production in our enterprise football product.
The Role Includes:
Evaluation of, and contribution toward, the continual improvement of our existing work.",201 to 500 Employees,2009,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable
Data Scientist (Remote),Yelp,Remote,"$154,000 /yr (est.)",3.5,"At Yelp, it’s our mission to connect people with great local businesses. Yelp’s unique dataset contains billions of interactions between users and businesses around the globe, from a review of a coffee shop to requesting a repair quote with a photo of a leaky faucet. Data Scientists at Yelp work to make sense of these interactions to deliver impactful analyses and products to our users, business partners and the general public.

The Data Science & Analytics team performs analyses, builds models, and designs experiments that directly impact Yelp’s products and users. Our teams sit in Yelp’s central product management organization and work directly with cross-functional leaders to understand quantitatively how our products are performing and where the largest opportunities are. We are adept at tasks like modeling user preferences, inference from user and marketplace experiments, and generating insights about the health of local economies. With diverse backgrounds and expertise, we strive for learning and growth in a collaborative environment.",5001 to 10000 Employees,2004,Company - Public,Internet & Web Services,Information Technology,$500 million to $1 billion (USD)
Sr. Data Engineer - AI- Machine Learning ( Patient Data),Change Healthcare,Remote,"$160,000 /yr (est.)",3.4,"R28463
Senior Data Engineer, Patient Data
FTE- (Remote - US)
To leverage AI gain insights from patient data to increase revenue and accelerate time to market for a new products
The opportunity is at Change Healthcare. https://careers.changehealthcare.com/
Transforming the future of healthcare isn’t something we take lightly. It takes teams of the best and the brightest, working together to make an impact.
As one of the largest healthcare technology companies in the U.S., we are a catalyst to accelerate the journey toward improved lives and healthier communities.",10000+ Employees,2007,Company - Public,Information Technology Support Services,Information Technology,Unknown / Non-Applicable
Content Contributor: Data Science,Codecademy,Remote,"$160,000 /yr (est.)",4.2,"We are NYC based, but remote friendly unless specified. (US & Canada based candidates only)
Hello, World! Codecademy is on a mission to build inspiring careers in technology through engaging, accessible, and interactive online coding education.
Our learners have gone on to start new jobs, launch new companies, and lead new lives thanks to their work with Codecademy, and our platform has transformed the way businesses develop and retain their teams.
Since 2011, our team has grown to over 200 employees serving 50+ million learners from 190+ countries. We’ve raised over $82M in venture capital funding from top investors including Prosus, Owl Ventures, Union Square Ventures, Y Combinator, and more-which gives us the capital to get stuff done in an impactful way.",201 to 500 Employees,2011,Company - Private,Education & Training Services,Education,Unknown / Non-Applicable
DATA SCIENTIST,University of Washington,"Seattle, WA","$110,107 /yr (est.)",4.2,"Notes:
As a UW employee, you will enjoy generous benefits and work/life programs. For detailed information on Benefits for this position, click here.


As a UW employee, you have a unique opportunity to change lives on our campuses, in our state and around the world. UW employees offer their boundless energy, creative problem solving skills and dedication to build stronger minds and a healthier world.

The University of Washington is located in the greater Seattle metropolitan area, with a dynamic, multicultural community of 3.7 million people and a range of ecosystems from mountains to ocean. The UW acknowledges the Coast Salish peoples of this land, the land which touches the shared waters of all tribes and bands within the Suquamish, Tulalip and Muckleshoot nations. The UW serves a diverse population of 80,000 students, faculty and staff, including 25% first-generation college students, over 25% Pell Grant students, and faculty from more than 70 countries.

EarthLab. iis seeking a for research on outdoor recreation and nature-based tourism. The employee will join a team of researchers and practitioners who develop novel methods and information to inform public land management and improve opportunities for outdoor recreation. The successful candidate will advance methods that mix traditional survey methods with data from citizen science, social media, and mobile applications to more effectively measure visitation to public lands and generate fine-scale maps of where and how people recreate outdoors. The Data Scientist will be responsible for developing, improving, and maintaining existing analysis workflows. They will also be involved in many aspects of data management, analysis, and visualization to support projects with academic, governmental, and NGO partners. The successful candidate will be an organized, friendly, self-directed individual who is passionate about working on collaborative projects for social good.

EarthLab is a visionary institute that pushes boundaries to address our most pressing environmental challenges, with a current focus on climate and its intersection with social justice. EarthLab does this by connecting the University of Washington (UW) to communities, businesses, non-profits, public agencies, Tribal nations and others to co-produce actionable research that generates solutions and strategies for local and global impact. EarthLab’s vision, an equitable, just and sustainable world where people and planet thrive, supports one of the University’s biggest goals. As a Carnegie-classified Community Engagement University, the UW aspires to be the #1 university in the world as measured by impact. EarthLab is inspired by and committed to this challenge.



































EarthLab and the University of Washington (UW) are committed to developing a diverse and culturally aware workplace, and the promotion of diversity and inclusivity among our students, faculty, staff, and public. EarthLab acknowledges the systemic racism that exists in the environmental sector and within environmentalism. We believe every member on our team enriches our diversity by exposing us to a broad range of ways to understand and engage with the world, identify challenges, and to discover, design and deliver solutions. We are seeking candidates who are committed to creating an equitable, diverse and inclusive work environment where all voices are considered and valued.

Application Process:




The application process for UW positions may include completion of a variety of online assessments to obtain additional information that will be used in the evaluation process. These assessments may include Work Authorization, Cover Letter and/or others. Any assessments that you need to complete will appear on your screen as soon as you select “Apply to this position”. Once you begin an assessment, it must be completed at that time; if you do not complete the assessment you will be prompted to do so the next time you access your “My Jobs” page. If you select to take it later, it will appear on your ""My Jobs"" page to take when you are ready.",10000+ Employees,1861,College / University,Colleges & Universities,Education,$2 to $5 billion (USD)
Data Scientist,Bayer,"Chesterfield, MO","$115,000 /yr (est.)",4.1,"At Bayer we’re visionaries, driven to solve the world’s toughest challenges and striving for a world where ,Health for all, Hunger for none’ is no longer a dream, but a real possibility. We’re doing it with energy, curiosity and sheer dedication, always learning from unique perspectives of those around us, expanding our thinking, growing our capabilities and redefining ‘impossible’. There are so many reasons to join us. If you’re hungry to build a varied and meaningful career in a community of brilliant and diverse minds to make a real difference, there’s only one choice.

Data Scientist",10000+ Employees,1863,Company - Public,Biotech & Pharmaceuticals,Pharmaceutical & Biotechnology,$10+ billion (USD)
Data Science and Machine Learning Analyst,"EPCVIP, Inc","Los Angeles, CA","$102,168 /yr (est.)",5.0,"The Data Science and Machine Learning Analyst collects, processes, and presents statistical analysis of data for the Data Science Team. They must work closely with their teammates and stakeholders to identify and understand trends, anomalies, and changes in model and metric performance. This is a technical role that focuses on data exploration, visualization, and presentation.

The initial focus of this role will be to organize, visualize, and analyze data used for training machine learning models and model performance metrics. Reports and visualizations will be generated to answer business questions. This role will be an important part of hypothesis creation, experimentation, and validation.

Responsibilities:",51 to 200 Employees,2014,Company - Private,Information Technology Support Services,Information Technology,Unknown / Non-Applicable
Data Science,Kaizen Technologies,"Irving, TX","$105,804 /yr (est.)",4.2,"Required Skills :

PySpark, Scala


Job Description :

Position: Data Science
Location: Irving - TX
Duration: Contract


Job Description:
1. Job title COGNIZANT IS LOOKING FOR SR DEVELOPER 2. Job summary Primary Skills: Machine Learning, Python, Data science • Gather requirements from the business users on the deployment of various Machine Learning models as part of marketing analytics project. • Analyze consumers data and create machine learning models to provide evidence- based insights for target-based recommendations to improve customer experience. • Create model validation process to measure the performance of existing deployments and track impact for current and future deployments. 3.Experience 8to10yrs 4. Required Skills Technical Skills- Data Science Domain Skills- 5. Nice to have skills Technical Skills- 3NF data modeling, Python, PL/SQL, Machine Learning Domain Skills- 6. Technology Analytics 7. Shift Day (8 TO 5) EST 8. Roles & Responsibilities • Implement end-to-end ML pipelines on Big Data using complete Hadoop solutions along with PySpark, Scala, RDDs, Data Frames and Dataset APIs. • Implement spark in performing ETL using Spark Core Spark SQL and Realtime data processing using Spark Streaming. • Process the HDFS data, create external tables using Hive and develop scripts to ingest and repair tables that can be reused across the project. • Developing shell scripts for validation of source files and data loading procedures, writing multiple scripts for pre-processing the files. • Performance tuning on Spark Applications for setting the right Batch Interval time, correct level of Parallelism, memory tuning. • Implement Proof of Concepts on Hadoop stack and different big data analytic tools, Migration from different databases. • Develop complex SQL and Hive Queries for backend database analysis, which includes complex datatypes. • Generate different types of reports using HiveQL for business to analyze the data feed from sources. 9.Job Location Primary: USTXIRNC01-Irving - TX USA, CLT Alternate: 10. Job Type 60CW00 Business Associate 11. Demand Requires Travel? N 12. Certification (s) Required NA",51 to 200 Employees,Company - Private,Information Technology Support Services,Information Technology,$10 to $25 million (USD),
"Engineer, Data Science",Lyn Health,Remote,"$105,804 /yr (est.)",,"LOCATION: Remote
JOB TITLE: Engineer, Data Science
EMPLOYMENT TYPE: 1099 Contract w/potential to hire
About us:
Lyn Health is the healthcare experience we all deserve. Our approach to healthcare delivery recognizes the unique needs of our patients, aligning and organizing the physical, mental and social service resources required to improve the lives of all. By leveraging the totality of virtual and traditional healthcare capabilities, we improve healthcare quality, reduce total cost of care, and provide hope to the most vulnerable populations among us.",,,,,,
Data Analyst,Disney Media & Entertainment Distribution,"Glendale, CA","$61,533 /yr (est.)",3.9,"The Business Intelligence Analyst is responsible using a diverse skill-set to supporting ad-hoc analytics requests from across the DMED organization.

This position will collaborate with Data Science, Data Platform, and Analytics Engineering to deliver actionable insights and knowledge, enabling executives and stakeholders to make the best decisions possible and help support the development of Data Platforms products.
This BI analyst also engages directly with business stakeholders, technical and business leaders to ensure successful design, development and delivery of analytics-based solutions using tools such as Snowflake, Adobe, Tableau, and MicroStrategy.",10000+ Employees,1923,Company - Public,Film Production,Media & Communication,$10+ billion (USD)
Data Scientist,Mystery,"Seattle, WA","$61,533 /yr (est.)",,"About Mystery
Mystery is on a mission to make people as happy as they can possibly be at work. To help us get there, we're adding even more of the brightest minds to our team; could that be you?
Every year, companies spend billions trying to boost morale and improve retention—and with an increasingly remote workforce, that's only getting harder. Combining highly curated, incredibly memorable team experiences with a world-class employee engagement platform, Mystery solves this problem for hundreds of the world's top companies (Amazon, Apple, Stripe, Google, KPMG, and Uber to name a few).
We've just raised an $18.5M Series A from Greylock with participation from Zoom Ventures, Moving Capital, Endeavor, Gaingels, and others. This funding means we can continue to grow our team as we scale our product, all while still offering competitive pay and remote perks (more on that below).",,,,,,
Data Scientist- US Remote USA- EST Hours,PRA Group,Remote,"$61,533 /yr (est.)",3.5,"We invite you to explore a future with us at PRA Group, a diverse and growing company that has a tangible impact on the global economy.
Position Summary:
We're in Norfolk, VA... But you don't need to be...

The Data Scientist role will be responsible for turning data into actionable insight to improve operational efficiency and effectiveness, make pricing decisions, improve customer experience that will include but not limited to performance evaluations and financial projections. Data scientist use their analytics skills to help design and implement core components of algorithms and models. They focus in applying machine learning techniques to build high quality intelligent systems integrated with our products.
Requirements:",1001 to 5000 Employees,1996,Company - Public,Debt Relief,Financial Services,Unknown / Non-Applicable
Data Science & Analytics,Digital Trike,"South Jordan, UT","$97,146 /yr (est.)",5.0,"As much as you’re a master at rigorous mining, culling and interpretation of big data, you’re equally at task to glean small but meaningful data insights and making it pop in multiple data visualization platforms.",1 to 50 Employees,Company - Private,Information Technology Support Services,Information Technology,Unknown / Non-Applicable,
Data Scientist,Meridian soft,"Santa Clara, CA","$139,383 /yr (est.)",,"ROLE: DATA SCIENTIST
LOCATION: ON-SITE (SANTA CLARA)
NOTICE PERIOD: IMMEDIATE JOINER
MUST HAVE SKILLS
* Min 5 years of experience asDataScientist
* Design, create, test and implement complex machine learning and deep learning models and algorithms that drive analytical solutions throughout the organization
* Leverage advanced statistical techniques and concepts, use predictive modeling to increase and optimize customer experiences, revenue generation, ad targeting and other business outcomes
* Identify and develop long-termdatascienceprocesses, frameworks, tools, and standards
* Comfortable working in programming languages like SQL, Python and R, as well as with frameworks like Azure ML Ops and Azure Machine Learning; experience designing solutions in distributed teams using Version Control tools like GIT
* Knowledge and experience in statistical anddatamining techniques: GLM/Regression, Random Forest, Boosting, Trees, text mining, social network analysis, etc.
* Experience creating and using advanced machine learning algorithms and statistics: regression, simulation, scenario analysis, modeling, clustering, decision trees, neural networks, etc.
* Curate and connect externaldatasets for broad enterprise-wide analytic usage
* Collaborate with internal stakeholders to understand business challenges and develop analytical solutions to optimize business processes & monitor outcomes and able to explain the why & how of thedatadriven recommendations to cross-functional teams
* Experienced in proposing ROI based solutions to business driven by AI/ML
* Experience with Azure and/or GCP cloud platform
* 5+ years of experience in software development of large-scaledatainfrastructure and distributed systems, experience indataextraction, transformation, statistical analysis anddatamodeling
* 3+ years of experience in applyingDataMining and Machine Learning techniques to solve business problems, experience using major RDBMS, SAP, Hadoop, Spark, Elasticsearch, or similar technologies, statistical modeling tools such as R, SAS, SciKit-learn
* Experience visualizing/presentingdatafor stakeholders using: Tableau, PowerBI, Looker,DataStudio, Shiny, D3, ggplot,etc.
OTHER REQUIREMENTS
* Bachelor's degree in ComputerScience, Computer Engineering, Machine Learning, or related field or equivalent experience.
* Strong leadership and management skills, communication, and interpersonal skills
* Strong understanding of Agile methodologies and open to working in agile environments with multiple stakeholders",,,,,,
"Junior Researcher, Data Science ",Paliwoda Group,"New York, NY","$139,383 /yr (est.)",,"Paliwoda Labs is looking for Junior Researchers to join our Data team: Students in Data Science who contribute to the work we do in large-scale data analysis and visualization, while enhancing their own academic skills and competencies within themes that suit their interests; and who may eventually move to technical or co-founder roles within our Ventures portfolio companies — projects they helped to grow.

Junior Researchers are assigned to projects in the Data Lab under the expert direct supervision of researchers already working with founders from the Ventures portfolio. Expect deep involvement in many aspects of each startup you are supporting to better understand business challenges, and to offer applicable technical solutions with a lean mindset that guides them through their growth and development.

Location: USA — New York City







Paliwoda Labs is our incubator for bold experimentation and innovation, with a focus on practical applications that help startups attract investment capital. We partner with entrepreneurs to nurture their ideas at early stages; offering technical assistance to demonstrate initial viability, and mentorship to align the strategic vision of founders with paths toward monetization and profitability. The Data Lab practice provides a diverse range of expertise for crafting data-centric applications that create value in the ""real world"" through data analysis and visualization, and innovative storytelling.",,,,,,
Data Scientist,User Interviews,"Brooklyn, NY","$103,278 /yr (est.)",4.8,"Why Join Us
User Interviews is a fully remote team (even in the before times). We are proactive about staying connected to one another despite not sharing the same physical space. Remote culture is real and we care about it—a lot.
We're a team of doers. You'll be fully supported by your manager and team, but there won't be anyone peering over your shoulder. You'll be expected and trusted to take ownership of your work, and to communicate clearly and transparently with your distributed teammates.
On a related note, we're very pro-feedback. From our users, of course. But also from each other. From individual contributors right up to the CEO, this is a team that is genuinely committed to continuous improvement.",51 to 200 Employees,Company - Private,Internet & Web Services,Information Technology,Unknown / Non-Applicable,
data scientist (multiple openings) - Remote,Starbucks,"Seattle, WA","$76,208 /yr (est.)",3.8,"Job Posting
: Jun 23, 2022
Job Posting End Date
: Aug 23, 2022
Location
: US-WA-Seattle-Starbucks Support Center
Is this role eligible for remote or hybrid work? : Yes-Remote",10000+ Employees,1971,Company - Public,Restaurants & Cafes,Restaurants & Food Service,$10+ billion (USD)
Data Science Analyst,The University of Chicago,"Chicago, IL","$92,810 /yr (est.)",4.2,"Department

BSD SUR - Section Administrator: OHNS - Thirty Million Words: R&D

About the Department

The TMW Center for Early Learning + Public Health (TMW Center) develops science-based interventions, tools, and technologies to help parents and caregivers interact with young children in ways that maximize brain development. A rich language environment is critical to healthy brain development, however few tools exist to measure the quality or quantity of these environments. Access to this type of data allows caregivers to enhance interactions in real-time and gives policy-makers insight in how to best build policies that have a population-level impact. The ECM team within TMW Center in partnership with Schmidt Futures is building a low-cost wearable device that can reliably and accurately measure a child’s early language environment vis-à-vis the conversational turns between a child and caregiver. The goal is to provide accurate, real-time feedback that empowers parents and caregivers to create the best language environment for their children.


The TMW Center is looking for a Data Science Analyst to support the ECM team in the development of this wearable technology. As a member of the TMW Center’s ECM team, the Data Science Analysts will develop, test, and validate existing machine learning algorithms, train new algorithms, lead ETL efforts, and partner with other team members and vendors to connect the algorithm, hardware and firmware pieces together. The TMW Center seeks candidates who are dynamic, collaborative, and curious. Candidates are encouraged to include a link to an online portfolio of work, such as a GitHub profile.


Minimum requirements include a college or university degree in related field.

Minimum requirements include knowledge and skills developed through 2-5 years of work experience in a related job discipline.




Research


Individual Contributor


Exempt


Monthly


40


Yes


Yes


No


No


No",10000+ Employees,1890,College / University,Colleges & Universities,Education,$2 to $5 billion (USD)
Data Engineer,Marshall Technologies,Remote,$57.50 /hr (est.),,"Role: Data Engineer
Location: Chicago, IL (Remote)
Long term
Responsibilities
Design, Develop, Test, and optimize new or existing data pipeline solutions
Assemble large, complex healthcare data sets(payors, EHR Data) that meet functional / nonfunctional business requirements
Identify, design, and implement process improvements: automating manual processes, optimizing, data delivery, re-designing infrastructure for greater scalability, etc.
Keep our data secure following HIPAA standards and Hitrust best practices",,,,,,
Associate Data Scientist,SameSky Health,"Los Angeles, CA","$98,343 /yr (est.)",3.4,"About SameSky Health
The healthcare system is not created equally: it leaves out people and entire communities. SameSky Health exists to build a healthier, more equitable world, one where no culture is left behind. Through our multiculturally driven experts, data, and technology, we’re fiercely committed to connecting every person to the care they need, exactly when they need it.
At SameSky Health, we believe connecting cultures is what changes the world. That’s why we’re built on a foundation of cultural intelligence: our expertise and technology go far beyond communications to deliver culturally inclusive, specific data and analytics for populations who have been overlooked or were never reachable before. By striving to understand each individual — clinically, socially, behaviorally, culturally — we personalize every healthcare interaction to create the trusted relationships needed for more impactful, meaningful experiences. We partner with health plans to provide fresh, effective solutions that drive real results.",1 to 50 Employees,2017,Company - Private,Software Development,Information Technology,Unknown / Non-Applicable
Data Scientist,Bell Federal Systems Inc.,Remote,"$134,415 /yr (est.)",,"Bell Federal Systems Inc. is a government contractor located in Springfield VA. We are seeking Data Scientists with PhD degrees to support corporate clients and federal agencies. The candidate should have extensive experience in a relative field such as quantitative methods, data mining, statistics, or analytic methodologies.
Job Type: Contract
Pay: $78,017.23 - $190,813.27 per year
Schedule:
On call
Education:",1 to 50 Employees,Company - Private,Unknown / Non-Applicable,,,
Data Scientist,Software People,Remote,$47.50 /hr (est.),4.5,"Client: State of VA
Phone/Skype Hire.
Location: Richmond, VA / REMOTE
Duration: 12+ months
Responsibilities
· Assist with complex data cleaning, integration, and analysis of public health data. The Data Scientist will collaborate with stakeholders, subject matter experts, and data stewards to ensure data projects are accurate and fulfill business needs for various data projects, including COVID-19.",1 to 50 Employees,Company - Private,Computer Hardware Development,Information Technology,Less than $1 million (USD),
Data Scientist,@BranexGroup,"Detroit, MI","$100,000 /yr (est.)",,"Job Description
Data Scientist:
The Data Science team supports a broad array of business and technology stakeholders by driving the development of data science solutions (incl. AI/ML) to a best-in-class level. The Data Scientists in this department bring data science training, education, and capabilities, as well as a business focus and outcome orientation to a use case-driven approach for impactful results. Data Scientists are critical team members in analytics product teams comprised of business leaders and technical experts. In addition, they are key members of the Global Data & Analytics team, which includes Business Intelligence and Data Governance.
The company is clear and committed to the “what” – enabling data-driven decisioning, as well as the “why” – to make a great company even better- and the Data Science role is key to “how” we make this happen.",,,,,,
Data Scientist,Valor Performance,Remote,"$135,000 /yr (est.)",,"ABOUT VALOR
Valor drives personal and professional growth through a proven 1:1 digital coaching platform. Our world-class leadership and mindset coaches are the best of the best, trained in the science of excellence, and highly experienced in improving individual performance that fuels organizational growth.
RESPONSIBILITIES
Analyze data and extract insights to prioritize improvements
Design, execute and automate analytics for operations
Design and build data automation (ETL) to convert production system data into formats that power reporting",,,,,,
Data Scientist,Coca-Cola Southwest Beverages,"Dallas, TX","$92,353 /yr (est.)",3.5,"#ZR
General Purpose
This role will support CCSWB's Advanced Analytics strategy and roadmap by designing, developing and implementing Advanced Analytics models that have an impact of increasing sales, reducing costs, or optimizing the use of our assets in all of our business units.
This role will work with a team that has the following overall objectives:
Develop, implement, update, operate and improve the predictive and prescriptive models of the organization's processes.
Serve as agents of change and catalysts for digital and analytical transformation",5001 to 10000 Employees,2017,Company - Private,Food & Beverage Manufacturing,Manufacturing,Unknown / Non-Applicable
Data Scientist,Business Intelli Solutions,Remote,"$92,353 /yr (est.)",3.7,"Identify valuable data sources and automate collection processes
Undertake preprocessing of structured and unstructured data
Analyze large amounts of information to discover trends and patterns
Build predictive models and machine-learning algorithms
Combine models through ensemble modeling
Present information using data visualization techniques
Propose solutions and strategies to business challenges
Collaborate with engineering and product development teams
Requirements and skills",1 to 50 Employees,Company - Private,Information Technology Support Services,Information Technology,$5 to $10 million (USD),
"Administrative Assistant, Institute for Artificial Intelligence and Data Sciences",University at Buffalo,"Buffalo, NY","$270,000 /mo (est.)",4.3,"The Institute for Artificial Intelligence and Data Sciences (IAD) is seeking an Administrative Assistant to provide administrative support for a variety of programs and initiatives. The incumbent will be responsible for providing support for meetings/events, drafting communications, and general administrative duties, as assigned. In addition, the position will assist with editing documents and presentations, and managing special projects.
Primary Duties and responsibilities include, but are not limited to:
Meeting and event support.
Editing documents and presentations and assisting in IAD communication efforts.
Purchasing and processing financial transactions.",5001 to 10000 Employees,1832,College / University,Colleges & Universities,Education,$100 to $500 million (USD)
Associate Data Scientist (MLOperations),BlueCross BlueShield of Tennessee,"Chattanooga, TN","$87,383 /yr (est.)",3.9,"PLEASE NOTE: This position is Remote with some geographic restrictions. To be hired for this position, you MUST live in one of the following states:
Alabama (AL), Arkansas (AR), Florida (FL), Georgia (GA), Mississippi (MS), Missouri (MO), North Carolina (NC), South Carolina (SC), Tennessee (TN), Virginia (VA).
Supports a high-performance data science team in its efforts to build innovative solutions for the business by applying the skills, tools, and technologies of data science and artificial intelligence. Team members must be able to manage data to be used in visuals, develop ad-hoc analysis based on business requirement needs, and use appropriate investigative and analytical technologies to interpret and verify results.
Job Description:
BlueCross, as a federal contractor, may be required to implement a COVID-19 vaccine mandate.
Job Responsibilities:
Apache Airflow, Data Science, DevOps, ETL Tools, Machine Learning, Python (Programming Language), Structured Query Language (SQL)
1
Employee
FlexHome
BCBST BlueCross BlueShield of Tennessee, Inc.",5001 to 10000 Employees,1945,Nonprofit Organization,Insurance Carriers,Insurance,$5 to $10 billion (USD)
Data Science Analyst,The University of Chicago,"Chicago, IL","$92,810 /yr (est.)",4.2,"Department

BSD SUR - Section Administrator: OHNS - Thirty Million Words: R&D

About the Department

The TMW Center for Early Learning + Public Health (TMW Center) develops science-based interventions, tools, and technologies to help parents and caregivers interact with young children in ways that maximize brain development. A rich language environment is critical to healthy brain development, however few tools exist to measure the quality or quantity of these environments. Access to this type of data allows caregivers to enhance interactions in real-time and gives policy-makers insight in how to best build policies that have a population-level impact. The ECM team within TMW Center in partnership with Schmidt Futures is building a low-cost wearable device that can reliably and accurately measure a child’s early language environment vis-à-vis the conversational turns between a child and caregiver. The goal is to provide accurate, real-time feedback that empowers parents and caregivers to create the best language environment for their children.


The TMW Center is looking for a Data Science Analyst to support the ECM team in the development of this wearable technology. As a member of the TMW Center’s ECM team, the Data Science Analysts will develop, test, and validate existing machine learning algorithms, train new algorithms, lead ETL efforts, and partner with other team members and vendors to connect the algorithm, hardware and firmware pieces together. The TMW Center seeks candidates who are dynamic, collaborative, and curious. Candidates are encouraged to include a link to an online portfolio of work, such as a GitHub profile.


Minimum requirements include a college or university degree in related field.

Minimum requirements include knowledge and skills developed through 2-5 years of work experience in a related job discipline.




Research


Individual Contributor


Exempt


Monthly


40


Yes


Yes


No


No


No",10000+ Employees,1890,College / University,Colleges & Universities,Education,$2 to $5 billion (USD)
Associate Data Scientist,SameSky Health,"Los Angeles, CA","$98,343 /yr (est.)",3.4,"About SameSky Health
The healthcare system is not created equally: it leaves out people and entire communities. SameSky Health exists to build a healthier, more equitable world, one where no culture is left behind. Through our multiculturally driven experts, data, and technology, we’re fiercely committed to connecting every person to the care they need, exactly when they need it.
At SameSky Health, we believe connecting cultures is what changes the world. That’s why we’re built on a foundation of cultural intelligence: our expertise and technology go far beyond communications to deliver culturally inclusive, specific data and analytics for populations who have been overlooked or were never reachable before. By striving to understand each individual — clinically, socially, behaviorally, culturally — we personalize every healthcare interaction to create the trusted relationships needed for more impactful, meaningful experiences. We partner with health plans to provide fresh, effective solutions that drive real results.",1 to 50 Employees,2017,Company - Private,Software Development,Information Technology,Unknown / Non-Applicable
